datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
21/07/2026 13:33:01,570,0,100,0,2,Tuesday,21/07/2026,13:33:01
21/07/2026 13:48:00,570,0,100,0,2,Tuesday,21/07/2026,13:48:00
21/07/2026 14:03:01,570,0,100,0,2,Tuesday,21/07/2026,14:03:01
21/07/2026 14:18:00,570,0,100,0,2,Tuesday,21/07/2026,14:18:00
21/07/2026 14:33:01,570,0,100,0,2,Tuesday,21/07/2026,14:33:01
21/07/2026 14:48:00,570,0,100,0,2,Tuesday,21/07/2026,14:48:00
21/07/2026 15:03:01,570,0,100,0,2,Tuesday,21/07/2026,15:03:01
21/07/2026 15:18:00,570,0,100,0,2,Tuesday,21/07/2026,15:18:00
21/07/2026 15:33:01,570,0,100,0,2,Tuesday,21/07/2026,15:33:01
21/07/2026 15:48:01,570,0,100,0,2,Tuesday,21/07/2026,15:48:01
21/07/2026 16:03:03,570,0,100,0,2,Tuesday,21/07/2026,16:03:03
21/07/2026 16:18:01,570,0,100,0,2,Tuesday,21/07/2026,16:18:01
21/07/2026 16:33:01,570,0,100,0,2,Tuesday,21/07/2026,16:33:01
21/07/2026 16:48:01,570,0,100,0,2,Tuesday,21/07/2026,16:48:01
21/07/2026 17:03:01,570,0,100,0,2,Tuesday,21/07/2026,17:03:01
21/07/2026 17:18:01,570,0,100,0,2,Tuesday,21/07/2026,17:18:01
21/07/2026 17:33:01,570,0,100,0,2,Tuesday,21/07/2026,17:33:01
21/07/2026 17:48:02,570,0,100,0,2,Tuesday,21/07/2026,17:48:02
21/07/2026 18:03:01,570,0,100,0,2,Tuesday,21/07/2026,18:03:01
21/07/2026 18:18:01,570,0,100,0,2,Tuesday,21/07/2026,18:18:01
21/07/2026 18:33:01,570,0,100,0,2,Tuesday,21/07/2026,18:33:01
21/07/2026 18:48:01,570,0,100,0,2,Tuesday,21/07/2026,18:48:01
21/07/2026 19:03:01,570,0,100,0,2,Tuesday,21/07/2026,19:03:01
21/07/2026 19:18:01,570,0,100,0,2,Tuesday,21/07/2026,19:18:01
21/07/2026 19:33:01,570,0,100,0,2,Tuesday,21/07/2026,19:33:01
21/07/2026 19:48:01,570,0,100,0,2,Tuesday,21/07/2026,19:48:01
21/07/2026 20:03:01,570,0,100,0,2,Tuesday,21/07/2026,20:03:01
21/07/2026 20:18:01,570,0,100,0,2,Tuesday,21/07/2026,20:18:01
21/07/2026 20:33:01,570,0,100,0,2,Tuesday,21/07/2026,20:33:01
21/07/2026 20:48:01,570,0,100,0,2,Tuesday,21/07/2026,20:48:01
21/07/2026 21:03:01,570,0,100,0,2,Tuesday,21/07/2026,21:03:01
21/07/2026 21:18:01,570,0,100,0,2,Tuesday,21/07/2026,21:18:01
21/07/2026 21:33:01,570,0,100,0,2,Tuesday,21/07/2026,21:33:01
21/07/2026 21:48:01,570,0,100,0,2,Tuesday,21/07/2026,21:48:01
21/07/2026 22:03:01,570,0,100,0,2,Tuesday,21/07/2026,22:03:01
21/07/2026 22:18:01,570,0,100,0,2,Tuesday,21/07/2026,22:18:01
