datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
25/10/2025 19:50:01,432,94,78,22,6,Saturday,25/10/2025,19:50:01
25/10/2025 20:05:01,432,90,79,21,6,Saturday,25/10/2025,20:05:01
25/10/2025 20:20:01,432,98,77,23,6,Saturday,25/10/2025,20:20:01
25/10/2025 20:35:01,432,94,78,22,6,Saturday,25/10/2025,20:35:01
25/10/2025 20:50:01,432,93,78,22,6,Saturday,25/10/2025,20:50:01
25/10/2025 21:05:01,432,92,79,21,6,Saturday,25/10/2025,21:05:01
25/10/2025 21:20:01,432,86,80,20,6,Saturday,25/10/2025,21:20:01
25/10/2025 21:35:01,432,78,82,18,6,Saturday,25/10/2025,21:35:01
25/10/2025 21:50:01,432,71,84,16,6,Saturday,25/10/2025,21:50:01
25/10/2025 22:05:01,432,61,86,14,6,Saturday,25/10/2025,22:05:01
25/10/2025 22:20:01,432,46,89,11,6,Saturday,25/10/2025,22:20:01
25/10/2025 22:35:01,432,35,92,8,6,Saturday,25/10/2025,22:35:01
25/10/2025 22:50:01,432,20,95,5,6,Saturday,25/10/2025,22:50:01
26/10/2025 07:05:01,432,0,100,0,7,Sunday,26/10/2025,07:05:01
26/10/2025 07:20:01,432,0,100,0,7,Sunday,26/10/2025,07:20:01
26/10/2025 07:35:01,432,32,93,7,7,Sunday,26/10/2025,07:35:01
26/10/2025 07:50:01,432,52,88,12,7,Sunday,26/10/2025,07:50:01
26/10/2025 08:05:01,432,65,85,15,7,Sunday,26/10/2025,08:05:01
26/10/2025 08:20:01,432,73,83,17,7,Sunday,26/10/2025,08:20:01
26/10/2025 08:35:01,432,88,80,20,7,Sunday,26/10/2025,08:35:01
