datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
28/10/2025 07:02:01,530,0,100,0,2,Tuesday,28/10/2025,07:02:01
28/10/2025 07:17:01,530,0,100,0,2,Tuesday,28/10/2025,07:17:01
28/10/2025 07:32:01,530,10,98,2,2,Tuesday,28/10/2025,07:32:01
28/10/2025 07:47:01,530,25,95,5,2,Tuesday,28/10/2025,07:47:01
28/10/2025 08:02:01,530,30,94,6,2,Tuesday,28/10/2025,08:02:01
28/10/2025 08:17:01,530,35,93,7,2,Tuesday,28/10/2025,08:17:01
28/10/2025 08:32:01,530,60,89,11,2,Tuesday,28/10/2025,08:32:01
28/10/2025 08:47:01,530,54,90,10,2,Tuesday,28/10/2025,08:47:01
28/10/2025 09:02:01,530,51,90,10,2,Tuesday,28/10/2025,09:02:01
28/10/2025 09:17:01,530,59,89,11,2,Tuesday,28/10/2025,09:17:01
28/10/2025 09:32:01,530,49,91,9,2,Tuesday,28/10/2025,09:32:01
28/10/2025 09:47:01,530,56,89,11,2,Tuesday,28/10/2025,09:47:01
28/10/2025 10:02:01,530,56,89,11,2,Tuesday,28/10/2025,10:02:01
28/10/2025 10:17:02,530,78,85,15,2,Tuesday,28/10/2025,10:17:02
28/10/2025 10:32:01,530,77,85,15,2,Tuesday,28/10/2025,10:32:01
28/10/2025 10:47:01,530,80,85,15,2,Tuesday,28/10/2025,10:47:01
28/10/2025 11:02:01,530,71,87,13,2,Tuesday,28/10/2025,11:02:01
28/10/2025 11:17:01,530,54,90,10,2,Tuesday,28/10/2025,11:17:01
28/10/2025 11:32:01,530,51,90,10,2,Tuesday,28/10/2025,11:32:01
28/10/2025 11:47:01,530,52,90,10,2,Tuesday,28/10/2025,11:47:01
28/10/2025 12:02:01,530,59,89,11,2,Tuesday,28/10/2025,12:02:01
28/10/2025 12:17:01,530,57,89,11,2,Tuesday,28/10/2025,12:17:01
28/10/2025 12:32:01,530,56,89,11,2,Tuesday,28/10/2025,12:32:01
28/10/2025 12:47:01,530,58,89,11,2,Tuesday,28/10/2025,12:47:01
28/10/2025 13:02:01,530,59,89,11,2,Tuesday,28/10/2025,13:02:01
28/10/2025 13:17:01,530,63,88,12,2,Tuesday,28/10/2025,13:17:01
28/10/2025 13:32:01,530,57,89,11,2,Tuesday,28/10/2025,13:32:01
28/10/2025 13:47:01,530,55,90,10,2,Tuesday,28/10/2025,13:47:01
28/10/2025 14:02:01,530,40,92,8,2,Tuesday,28/10/2025,14:02:01
28/10/2025 14:17:01,530,39,93,7,2,Tuesday,28/10/2025,14:17:01
28/10/2025 14:32:01,530,37,93,7,2,Tuesday,28/10/2025,14:32:01
28/10/2025 14:47:01,530,35,93,7,2,Tuesday,28/10/2025,14:47:01
28/10/2025 15:02:01,530,39,93,7,2,Tuesday,28/10/2025,15:02:01
28/10/2025 15:17:01,530,37,93,7,2,Tuesday,28/10/2025,15:17:01
28/10/2025 15:32:01,530,44,92,8,2,Tuesday,28/10/2025,15:32:01
28/10/2025 15:47:01,530,47,91,9,2,Tuesday,28/10/2025,15:47:01
28/10/2025 16:02:01,530,51,90,10,2,Tuesday,28/10/2025,16:02:01
28/10/2025 16:17:01,530,60,89,11,2,Tuesday,28/10/2025,16:17:01
28/10/2025 16:32:01,530,61,88,12,2,Tuesday,28/10/2025,16:32:01
28/10/2025 16:47:01,530,73,86,14,2,Tuesday,28/10/2025,16:47:01
28/10/2025 17:02:01,530,80,85,15,2,Tuesday,28/10/2025,17:02:01
28/10/2025 17:17:02,530,97,82,18,2,Tuesday,28/10/2025,17:17:02
28/10/2025 17:32:01,530,91,83,17,2,Tuesday,28/10/2025,17:32:01
28/10/2025 17:47:01,530,93,82,18,2,Tuesday,28/10/2025,17:47:01
28/10/2025 18:02:02,530,99,81,19,2,Tuesday,28/10/2025,18:02:02
28/10/2025 18:17:01,530,98,82,18,2,Tuesday,28/10/2025,18:17:01
28/10/2025 18:32:01,530,89,83,17,2,Tuesday,28/10/2025,18:32:01
28/10/2025 18:47:01,530,83,84,16,2,Tuesday,28/10/2025,18:47:01
28/10/2025 19:02:01,530,85,84,16,2,Tuesday,28/10/2025,19:02:01
28/10/2025 19:17:01,530,73,86,14,2,Tuesday,28/10/2025,19:17:01
28/10/2025 19:32:01,530,73,86,14,2,Tuesday,28/10/2025,19:32:01
28/10/2025 19:47:01,530,69,87,13,2,Tuesday,28/10/2025,19:47:01
28/10/2025 20:02:01,530,65,88,12,2,Tuesday,28/10/2025,20:02:01
28/10/2025 20:17:01,530,59,89,11,2,Tuesday,28/10/2025,20:17:01
28/10/2025 20:32:01,530,67,87,13,2,Tuesday,28/10/2025,20:32:01
28/10/2025 20:47:01,530,70,87,13,2,Tuesday,28/10/2025,20:47:01
28/10/2025 21:02:01,530,60,89,11,2,Tuesday,28/10/2025,21:02:01
28/10/2025 21:17:01,530,57,89,11,2,Tuesday,28/10/2025,21:17:01
28/10/2025 21:32:01,530,57,89,11,2,Tuesday,28/10/2025,21:32:01
28/10/2025 21:47:01,530,50,91,9,2,Tuesday,28/10/2025,21:47:01
28/10/2025 22:02:01,530,37,93,7,2,Tuesday,28/10/2025,22:02:01
28/10/2025 22:17:01,530,24,95,5,2,Tuesday,28/10/2025,22:17:01
28/10/2025 22:32:01,530,14,97,3,2,Tuesday,28/10/2025,22:32:01
28/10/2025 22:47:01,530,11,98,2,2,Tuesday,28/10/2025,22:47:01
29/10/2025 07:02:01,530,0,100,0,3,Wednesday,29/10/2025,07:02:01
29/10/2025 07:17:01,530,0,100,0,3,Wednesday,29/10/2025,07:17:01
29/10/2025 07:32:01,530,10,98,2,3,Wednesday,29/10/2025,07:32:01
29/10/2025 07:47:01,530,24,95,5,3,Wednesday,29/10/2025,07:47:01
29/10/2025 08:02:01,530,29,95,5,3,Wednesday,29/10/2025,08:02:01
